Letter_ID,Location_Name,Site_Name,Coordinates,
1861.10.02.b,Great Yarmouth,," 52.6072426, 1.7310768",
1861.10.02.b,Norwich,,"52.6286060, 1.2922700",
1861.10.02.b,Burgh St Margaret,,"52.6693905, 1.6159025",
1861.10.02.b,Clippesby,,"52.6693905, 1.6159025",
1861.10.02.b,Hellesdon,,"52.6489932, 1.2511183",
1861.10.02.b,Langley,,"52.5543365, 1.4996883",
1861.10.02.b,Loddon,,"52.5348240, 1.4819363",
1861.10.02.b,Great Ormesby,,"52.6755898, 1.6893887",
1861.10.02.b,Little Plumstead,,"52.6576794, 1.4179244",
1861.10.02.b,Surlingham,St Saviour,"52.6069268, 1.4149256",
1861.10.02.b,Trowse Newton,,"52.6113090, 1.3208699",
1861.10.02.b,Witton,,"52.6356712, 1.4176273",
1861.10.02.c,Gorleston,,"52.5751563, 1.7276635",
1861.10.02.e,Norwich,St Andrew's,"52.6286060, 1.2922700",
1861.10.02.f,Norwich,St Giles,"52.6286060, 1.2922700",
1861.10.02.f,Norwich,St John Maddermarket,"52.6286060, 1.2922700",
1880.03.09.h,Ludham,,"52.7106916, 1.5346951",
1880.03.09.i,Fakenham,,"52.8369647, 0.8488819",
1881.09.21.b,King's Lynn,,"52.7548910, 0.3964614",
1883.01.05.c,North Elmham,,"52.7498571, 0.9405559",
1883.01.05.c,Barton Turf,,"52.7489976, 1.4869880",
1883.01.05.c,Worstead,,"52.7826982, 1.4133514",
1883.01.05.c,North Walsham,,"52.8194246, 1.3874156",
1883.01.05.c,North Tuddenham,,"52.6866809, 1.0157799",
1883.01.05.c,Stalham,,"52.7729300, 1.5147208",
1883.01.05.c,Sparham,,"52.7344563, 1.0700471",
1883.01.05.c,Norwich,St Lawrence,"52.6286060, 1.2922700",
1883.01.05.d,Edingthorpe,,"52.8447205, 1.4478130",
1883.01.05.d,Norwich,St Martin at Oak,"52.6286060, 1.2922700",
1883.01.05.d,Swafield,,"52.8386179, 1.3937214",
1883.01.05.d,Witton,,"52.8271722, 1.4665196",
1883.01.05.d,Mattishall,,"52.6596767, 1.0282759",
1883.01.05.d,Buckenham Ferry,,"52.6008457, 1.4841440",
1883.01.05.d,North Burlingham,St Andrew,"52.6363042, 1.4986928",
1883.01.05.d,North Burlingham,St Peter,"52.6363042, 1.4986928",
1883.01.05.d,Ellingham,,"52.4811959, 1.4847477",
1883.01.05.f,Barton Turf,,"52.7489976, 1.4869880",
1883.01.05.g,Barton Turf,,"52.7489976, 1.4869880",
1883.09.28.b,Great Yarmouth,,"52.6072426, 1.7310768",
1883.09.28.b,Weston Longville,,"52.6992215, 1.1254839",
1883.09.28.b,Belaugh,,"52.7168760, 1.3880553",
1883.09.28.b,Catfield,,"52.7402821, 1.5354406",
1883.09.28.c,Halvergate,,"52.6059646, 1.5735582",
1883.09.28.c,Stokesby,,"52.6389181, 1.5917907",
1883.09.28.c,Clippesby,,"52.6744566, 1.5926408",
1883.09.28.d,Weston Longville,,"52.6992215, 1.1254839",
1883.09.28.d,Blofield,,"52.6343884, 1.4465414",
1883.09.28.d,Ludham,,"52.7106916, 1.5346951",
1883.09.28.e,Potter Heigham,,"52.7196336, 1.5747217",
1883.09.28.e,Ranworth,,"52.6774279, 1.4841621",
1883.09.28.e,Thurlton,,"52.5294020, 1.5638136",
1883.09.28.e,Upton,,"52.6577264, 1.5426001",
1883.09.28.f,South Walsham,St Mary,"52.6641581, 1.4959985",
1883.09.28.g,Ranworth,,"52.6774279, 1.4841621",
1883.09.28.g,Weston Longville,,"52.6992215, 1.1254839",
1883.09.28.g,Ringland,,"52.6812771, 1.1599148",
1883.09.28.g,Acle,,"52.6395853, 1.5479610",
1883.09.28.g,Repps,,"52.6977829, 1.5746994",
1883.09.28.g,Sloley,,"52.7717362, 1.3966332",
1883.09.28.g,Winterton,,"52.7154002, 1.6909471",
1883.09.28.g,Moulton,,"52.4654227, 1.1878646",
1883.09.28.g,Thorpe,St Matthias,"52.5257729, 1.5902924",
1883.09.28.h,Bradestone,,"52.6234524, 1.4383782",
1883.09.28.h,Great Plumstead,,"52.6416187, 1.3996831",
1883.09.28.h,Strumpshaw,,"52.6161478, 1.4695505",
1883.09.28.h,Burnham Overy,,"52.9522970, 0.7413082",
1883.11.16.b,Great Barsham,,"52.8683384, 0.8480827",
1884.09.11.c,Pentney,,"52.6949835, 0.5489873",
1884.09.17.a,Salthouse,,"52.9511225, 1.0876425",
1884.09.17.a,Wood Dalling,,"52.7996083, 1.0988598",
1884.09.17.a,Hindolveston,,"52.8228164, 1.0206042",
1884.09.17.a,Salle,,"52.7804034, 1.1248665",
1884.09.17.b,Sculthorpe,,"52.8417623, 0.8127847",
1884.09.17.b,South Creake,,"52.8905887, 0.7562379",
1884.09.17.b,Burnham Thorpe,,"52.9380354, 0.7570808",
1884.09.17.b,Fakenham,,"52.8369647, 0.8488819",
1884.09.17.b,Great Snoring,,"52.8737707, 0.8924590",
1884.09.17.b,Walsingham,,"52.9003084, 0.8867278",
1884.09.17.b,East Barsham,,"52.8683384, 0.8480827",
1884.09.17.b,Houghton-le-Dale,,"52.8819345, 0.8590086",
1884.09.17.b,Norwich,St John Maddermarket,"52.6286060, 1.2922700",
1884.09.17.b,Kirby Bedon,St Lawrence,"52.6020162, 1.3692550",
1884.09.17.c,Norwich,St Peter Southgate,"52.6286060, 1.2922700",
1884.09.17.c,Norwich,St Etheldreda,"52.6286060, 1.2922700",
1884.09.17.c,Norwich,Sts Swithin and Margaret,"52.6286060, 1.2922700",
1884.09.17.c,Norwich,St John Sepulchre,"52.6286060, 1.2922700",
1884.09.17.c,Norwich,St John Maddermarket,"52.6286060, 1.2922700",
1884.09.17.c,King's Lynn,,"52.7548910, 0.3964614",
1884.09.17.c,Hellington,,"52.5778176, 1.4147450",
1884.09.17.c,East Raynham,,"52.7938901, 0.8004065",
1884.09.17.d,Langham,,"52.9305059, 0.9846925",
1884.09.17.d,Hindringham,,"52.8870643, 0.9461217",
1884.09.17.d,Field Dalling,,"52.9117762, 0.9849629",
1884.09.17.d,Saxlingham,,"52.9158475, 1.0111633",
1884.09.17.d,Saxthorpe,,"52.8295234, 1.1396554",
1884.12.05.b,Norwich,St Giles,"52.6286060, 1.2922700",
1884.12.05.b,Norwich,St Swithin,"52.6286060, 1.2922700",
1884.12.05.b,Norwich,St Martin at Oak,"52.6286060, 1.2922700",
1884.12.05.b,Norwich,Sts Simon and Jude,"52.6286060, 1.2922700",
1884.12.05.b,Norwich,St Peter Parmountergate,"52.6286060, 1.2922700",
1885.01.30.c,Reepham,,"52.7634606, 1.1115326",
1885.03.13.a,Ingham,,"52.7798853, 1.5416054",
1885.03.13.b,Stody,,"52.8747918, 1.0507694",
1885.03.13.c,North Barsham,,"52.8778119, 0.8409973",
1885.03.13.c,Elsing,,"52.7103929, 1.0389018",
1885.03.27.e,Edgefield,,"52.8639507, 1.1118468",
1885.03.27.f,Stody,,"52.8747918, 1.0507694",
1885.04.22.a,Necton,,"52.6513980, 0.7769950",
1885.07.16.a,Hellington,,"52.5778176, 1.4147450",
1885.07.24.b,Mulbarton,,"52.5641950, 1.2345347",
1886.09.08.b,Martham,,"52.7043189, 1.6367393",
1886.09.13.a,Martham,,"52.7043189, 1.6367393",
1886.09.30.b,Cley,,"52.9526378, 1.0426860",
1886.09.30.b,East Raynham,,"52.7938901, 0.8004065",
1886.10.12.b,Hindolveston,,"52.8228164, 1.0206042",
1886.10.12.b,Melton Constable,,"52.8553606, 1.0332153",
1886.10.12.b,Walsingham,,"52.9003084, 0.8867278",
1886.10.12.b,Great Snoring,,"52.8737707, 0.8924590",
1886.10.12.c,East Barsham,,"52.8683384, 0.8480827",
1886.10.12.c,West Barsham,,"52.8680444, 0.8273545",
1886.10.12.d,East Harling,,"52.4392521, 0.9326761",
1886.10.12.d,West Harling,,"52.4276400, 0.9042893",
1886.10.27.c,Wood Dalling,,"52.7996083, 1.0988598",
1886.11.05.b,Wood Dalling,,"52.7996083, 1.0988598",
1886.11.05.b,Great Ellingham,,"52.5366889, 0.9742263",
1886.11.05.c,Rougham,,"52.7507434, 0.7118298",
1886.11.05.c,Norwich,St Michael-at-Thorne,"52.6286060, 1.2922700",
1887.04.20.a,Swanton Morley,,"52.7080482, 0.9815830",
1887.04.20.b,Hoe,,"52.7126200, 0.9484610",
1887.04.20.b,Great Witchingham,,"52.7368080, 1.1144540",
1887.05.02.b,Attlebridge,,"52.7079487, 1.1507469",
1887.05.02.b,Morton-on-the-Hill,,"52.7088693, 1.1425701",
1887.05.02.c,Attlebridge,,"52.7079487, 1.1507469",
1887.05.02.c,Great Witchingham,,"52.7368080, 1.1144540",
1887.05.02.d,Swanton Morley,,"52.7080482, 0.9815830",
1887.05.23.b,Buxton,,"52.7547251, 1.3067651",
1887.05.23.b,Stratton Strawless,,"52.7375260, 1.2904123",
1887.05.23.b,Hevingham,,"52.7427159, 1.2518862",
1887.05.23.b,Marsham,,"52.7689799, 1.2527893",
1887.05.23.b,Brampton,,"52.7679641, 1.2935735",
1887.05.23.b,Burgh,,"52.7787941, 1.2881614",
1887.05.23.b,Oxnead,,"52.7683673, 1.3034272",
1887.05.28.b,Brampton,,"52.7679641, 1.2935735",
1887.05.28.b,Oxnead,,"52.7683673, 1.3034272",
1887.05.28.b,Burgh,,"52.7787941, 1.2881614",
1887.05.28.b,Burgh-next-Aylsham,,"52.7787941, 1.2881614",
1887.05.28.b,Burgh St Margaret,,"52.6693905, 1.6159025",
1887.06.17.a,Burgh St Margaret,,"52.6693905, 1.6159025",
1887.06.17.a,Stokesby,,"52.6389181, 1.5917907",
1887.06.17.a,Clippesby,,"52.6744566, 1.5926408",
